125-й квартал, 50.054928, 72.920497
Алем, 50.056553, 72.967147
Колос, 49.884876, 73.199137
Овощебаза, 50.056522, 72.917893
ТЦ Ес-Даулет, 50.059861, 72.968911
13-й м-н, 49.895182, 73.210734
АТФ банк, 49.953785, 82.624756
Кольцевая (50 лет Казахстана), 49.898967, 73.210328
Овощная база, 49.873746, 73.159382
ул. Заслонова, 50.052576, 72.923101
14-й м-н, 49.893009, 73.214981
Афган, 50.063709, 72.969511
к-тр Комсомолец, 50.063588, 72.982225
Октябрьский акимат, 49.87919, 73.190981
ул. Пожарная, 50.078776, 72.927692
15-й магазин, 49.816497, 73.078232
Аян-Пассаж, 50.052124, 72.955452
Ласточка, 49.889863, 73.200572
Парк отдыха Восток, 50.059952, 72.998614
УПТК, 50.060934, 73.045158
23-й м-н, 49.915442, 73.075835
Библиотека, 50.065012, 72.96853
Лесотарный цех, 50.060182, 73.03972
Поликлиника, 50.041097, 72.963865
Фортуна, 50.047894, 72.964815
32-й квартал, 50.049623, 72.948548
Гостиница Стил, 50.058638, 73.00234
ЛПЦ-2, 50.060874, 73.025446
Пятачок, 50.048828, 72.935071
Цех обжига, 50.058576, 73.053478
3а м-н, 50.064835, 72.961447
ДК Горняков, 49.809311, 73.083331
Магазин Буратино, 50.052359, 72.935997
Радуга, 50.059861, 72.968911
ЦОН (Архитектурная), 49.879752, 73.185625
45-й квартал, 49.797942, 73.091275
ДК г. Темиртау, 50.065278, 72.968119
Магазин Горняк, 50.052359, 72.935997
Стан 1700, 50.060487, 73.030882
ЦПП, 50.057719, 73.020049
